Retailer Name,Brand1,Brand2,Brand3,Brand4,Brand5,Brand6,Brand7,Brand8,Brand9,Brand10,Brand11,Brand12,Total Sales,Number of Brands,Category of Retailer,Category_of_Retailer
Retailer 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30826.61,0.0,0.0,30826.61,1,1.0,B
Retailer 2,9833.106,0.0,0.0,24073.632,33806.4312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67713.1692,3,2.0,A
Retailer 3,24690.6708,0.0,0.0,0.0,27367.0386,0.0,0.0,0.0,12948.696000000002,0.0,0.0,0.0,65006.4054,3,2.0,A
Retailer 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25897.392000000003,0.0,0.0,0.0,25897.392000000003,1,1.0,B
Retailer 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31309.9064,0.0,0.0,31309.9064,1,1.0,B
Retailer 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 13,3277.702,0.0,0.0,0.0,12556.5876,0.0,0.0,0.0,12948.696000000002,0.0,0.0,0.0,28782.9856,3,1.0,B
Retailer 14,12345.3354,0.0,0.0,0.0,5151.1088,0.0,0.0,6714.983,12948.696000000002,36385.5318,15449.2736,0.0,88994.9286,6,3.0,O+
Retailer 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 16,0.0,0.0,0.0,120368.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120368.16,1,3.0,O+
Retailer 17,0.0,0.0,0.0,24073.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24073.632,1,1.0,B
Retailer 18,0.0,0.0,0.0,0.0,10624.9218,0.0,0.0,0.0,0.0,11863.5588,18064.3428,0.0,40552.8234,3,1.0,B
Retailer 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10579.3278,0.0,0.0,10579.3278,1,1.0,B
Retailer 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 23,0.0,0.0,0.0,120368.16,0.0,17976.1944,0.0,0.0,12948.696000000002,0.0,5656.6956,0.0,156949.74599999998,4,3.0,O+
Retailer 24,3277.702,0.0,0.0,4012.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7289.974,2,1.0,B
Retailer 25,10987.1408,0.0,0.0,0.0,0.0,0.0,5574.6264,0.0,0.0,0.0,3771.1304,0.0,20332.8976,3,1.0,B
Retailer 26,3277.702,0.0,0.0,0.0,0.0,8062.0324,0.0,2685.9932,0.0,3098.3656,0.0,0.0,17124.0932,4,1.0,B
Retailer 27,28805.7826,0.0,0.0,0.0,30103.6918,0.0,11038.3074,2685.9932,25897.392000000003,2416.9886,1885.5652,3712.8714,106546.5922,8,3.0,O+
Retailer 28,13110.808,0.0,0.0,0.0,67612.8624,0.0,0.0,0.0,51794.78400000001,7064.536999999999,0.0,0.0,139582.9914,4,3.0,O+
Retailer 29,18099.2982,0.0,0.0,0.0,6278.2938,0.0,0.0,5371.9864,12948.696000000002,16776.058999999997,3771.1304,0.0,63245.4638,6,2.0,A
Retailer 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25897.392000000003,0.0,0.0,0.0,25897.392000000003,1,1.0,B
Retailer 31,0.0,0.0,0.0,0.0,41854.7854,0.0,11038.3074,0.0,38846.087999999996,10095.5248,27709.5002,0.0,129544.2058,5,3.0,O+
Retailer 32,0.0,23082.7224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23082.7224,1,1.0,B
Retailer 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,F
Retailer 34,17261.8884,0.0,0.0,12036.816,0.0,11234.3616,0.0,8057.9796,12948.696000000002,19874.4246,3771.1304,0.0,85185.2966,7,3.0,O+
